      Unix Time              Julian Date        RA      BorS            DEC     MSDPK                   DETPOW             MEANPOW       FINECHAN       COARCHID          ifreq
     1433869510           2457183.250000   6.13543         8        12.3572         0      288779829248.000000    200497440.000000              0            252        336.109
     1433869510           2457183.250000   6.13543         9        12.3572         0        3044613632.000000    145584992.000000              0             28        311.609
     1433869510           2457183.250000   6.13543         9        12.3572         0        4420466176.000000     87301888.000000          56174            151        325.109
     1433869510           2457183.250000   6.13543         9        12.3572         0      110800928768.000000    213317328.000000              0            252        336.109
     1433869510           2457183.250000   6.13543         9        12.3572         0        1610151424.000000     76357888.000000          77747            285        3923.67
     1433869510           2457183.250000   6.13543         9        12.3572         0        2863338496.000000    133203744.000000           9252            305        341.914
     1433869510           2457183.250000   6.14026        10         12.415         0        5063853056.000000    124154368.000000          56174            151        325.109
     1433869510           2457183.250000   6.14026        10         12.415         0      799458656256.000000    595303360.000000              0            252        336.109
     1433869510           2457183.250000   6.14026        11         12.415         0        1997788800.000000     89139456.000000          56174            151        325.109
     1433869510           2457183.250000   6.14026        11         12.415         0        2985690368.000000    145808896.000000          22569            197        330.113
     1433869510           2457183.250000   6.14026        11         12.415         0      244671250432.000000    296486112.000000              0            252        336.109
     1433869510           2457183.250000    6.1387        12         12.516         0        2924443136.000000    129688720.000000              0             28        311.609
     1433869510           2457183.250000    6.1387        12         12.516         0        2603675136.000000     97222912.000000          93623             42        3897.11
     1433869510           2457183.250000    6.1387        12         12.516         0        4272630528.000000     93848064.000000          44277             67        315.912
     1433869510           2457183.250000    6.1387        12         12.516         0        6943753216.000000     64059904.000000          56174            151        325.109
     1433869510           2457183.250000    6.1387        12         12.516         0        2472296192.000000     60581376.000000          56174            152        325.219
     1433869510           2457183.250000    6.1387        12         12.516         0        5839888384.000000    107453696.000000          22567            197        330.113
     1433869510           2457183.250000    6.1387        12         12.516         0        7708816896.000000    107469760.000000          22568            197        330.113
     1433869510           2457183.250000    6.1387        12         12.516         0        5641988608.000000    107477952.000000          22569            197        330.113
     1433869510           2457183.250000    6.1387        12         12.516         0       69086314496.000000    134545888.000000              0            252        336.109
     1433869510           2457183.250000    6.1387        13         12.516         0        6687210496.000000    154826400.000000              0             28        311.609
     1433869510           2457183.250000    6.1387        13         12.516         0       10123462656.000000     74747648.000000          56174            151        325.109
     1433869510           2457183.250000    6.1387        13         12.516         0        2835301376.000000     69223168.000000          56174            152        325.219
     1433869510           2457183.250000    6.1387        13         12.516         0      705585807360.000000    488974368.000000              0            252        336.109
     1433869511           2457183.250000   6.13416         0        12.4578         0        1652295680.000000     60162048.000000          56174            151        325.109
     1433869511           2457183.250000   6.13416         0        12.4578         0       66179723264.000000    131128200.000000              0            252        336.109
     1433869511           2457183.250000   6.13416         0        12.4578         0        2377050624.000000     90924288.000000          25490            252        336.131
     1433869511           2457183.250000   6.13416         0        12.4578         0        1838768128.000000     90921856.000000          25491            252        336.131
     1433869511           2457183.250000   6.13416         1        12.4578         0        3577144320.000000     72234496.000000          56174            151        325.109
     1433869511           2457183.250000   6.13416         1        12.4578         0        1428187520.000000     68623104.000000          56174            152        325.219
     1433869511           2457183.250000   6.13416         1        12.4578         0      744132968448.000000    480227776.000000              0            252        336.109
     1433869511           2457183.250000   6.13261         2        12.5586         0        4773676032.000000    157358336.000000          44274             67        315.912
     1433869511           2457183.250000   6.13261         2        12.5586         0        6999194112.000000    115573760.000000          56174            151        325.109
     1433869511           2457183.250000   6.13261         2        12.5586         0      844625412096.000000    585573568.000000              0            252        336.109
     1433869511           2457183.250000   6.13261         3        12.5586         0        9654626304.000000    180878848.000000          44274             67        315.912
     1433869511           2457183.250000   6.13261         3        12.5586         0       49981718528.000000    225130272.000000              0            252        336.109
     1433869511           2457183.250000   6.12777         4        12.5008         0      154156318720.000000    235306688.000000              0            252        336.109
     1433869511           2457183.250000   6.12777         5        12.5008         0        2368824064.000000     51765120.000000          56174            151        325.109
     1433869511           2457183.250000   6.12777         5        12.5008         0     1112670732288.000000    620393024.000000              0            252        336.109
     1433869511           2457183.250000   6.12931         6        12.4004         0      315663777792.000000    452847616.000000              0            252        336.109
     1433869511           2457183.250000   6.12931         7        12.4004         0       27638980608.000000    119542632.000000              0            252        336.109
     1433869511           2457183.250000   6.13571         8        12.3572         0        1994645632.000000     59753344.000000          44262             67        315.912
     1433869511           2457183.250000   6.13571         8        12.3572         0        5444535296.000000     59845504.000000          44274             67        315.912
     1433869511           2457183.250000   6.13571         8        12.3572         0      287042764800.000000    197509328.000000              0            252        336.109
     1433869511           2457183.250000   6.13571         9        12.3572         0        4320299520.000000    147941936.000000              0             28        311.609
     1433869511           2457183.250000   6.13571         9        12.3572         0        2271781632.000000     86901504.000000          56173            151        325.109
     1433869511           2457183.250000   6.13571         9        12.3572         0       10106823680.000000     86908672.000000          56174            151        325.109
     1433869511           2457183.250000   6.13571         9        12.3572         0        2834888192.000000     81710336.000000          56174            152        325.219
     1433869511           2457183.250000   6.13571         9        12.3572         0       73960185856.000000    183465808.000000              0            252        336.109
     1433869511           2457183.250000   6.14054        10         12.415         0        4330725376.000000    173102080.000000          44274             67        315.912
